Test,Quem
99,"D,E,F,G,K,L,Q,V,Y,Z"
98,"D,E,F,G,K,V,Y,Z"
100,"D,F,K,Q,S,V,Y"
78,"A,D,E,K,M,Y"
96,"D,E,K,L,Q,V"
97,"D,E,K,L,Q,V"
58,"D,E,K,T,Y"
59,"D,E,K,T,Y"
60,"D,E,K,T,Y"
66,"E,K,L,Q,V"
102,"B,D,L,M,Y"
103,"D,E,K,T,Y"
104,"E,F,K,V,Y"
63,"E,L,Q,V"
65,"E,K,L,Q"
75,"D,K,L,Y"
79,"A,D,K,M"
31,"D,E,K"
32,"D,E,K"
62,"E,L,Q"
72,"C,K,Y"
73,"C,K,Y"
74,"D,E,Y"
76,"D,K,Y"
90,"D,K,Y"
93,"C,K,Y"
94,"K,Q,V"
43,"D,K"
44,"D,K"
46,"D,K"
77,"E,Y"
80,"D,K"
89,"C,K"
92,"J,V"
95,"M,Y"
26,A
38,M
42,E
45,E
47,E
54,Y
55,Y
69,V
70,V
71,V
